,full_name,company,selling_price,year,km_driven,owner_type,fuel_type,transmission_type
34,Hyundai i20 Active,Hyundai,700000,2018,25000,First Owner,Petrol,Manual
35,Toyota Fortuner 4x2,Toyota,1150000,2013,110000,First Owner,Diesel,Manual
36,Renault KWID Climber,Renault,340000,2017,30000,First Owner,Petrol,Manual
37,Honda Amaze S,Honda,465000,2016,39993,First Owner,Petrol,Manual
38,Hyundai Santro Xing,Hyundai,125000,2009,80000,First Owner,Petrol,Manual
39,Mahindra XUV500 W8,Mahindra,600000,2012,185000,First Owner,Diesel,Manual
40,Maruti Swift Dzire,Maruti,380000,2013,90000,First Owner,Diesel,Manual
41,Mahindra Xylo E8,Mahindra,400000,2009,60000,First Owner,Diesel,Manual
42,Chevrolet Sail 1.3,Chevrolet,300000,2014,90000,First Owner,Diesel,Manual
43,Hyundai Xcent 1.2,Hyundai,500000,2015,20000,First Owner,Petrol,Manual
44,Hyundai i20 1.4,Hyundai,850000,2018,15000,First Owner,Diesel,Manual
45,Hyundai i20 1.2,Hyundai,598000,2018,40000,First Owner,Petrol,Manual
46,Honda City i,Honda,700000,2015,31180,First Owner,Petrol,Automatic
47,Mahindra TUV 300,Mahindra,900000,2018,40000,First Owner,Diesel,Automatic
48,Maruti 800 Std,Maruti,75000,2004,50000,First Owner,Petrol,Manual
49,Tata Indigo LS,Tata,300000,2015,58000,First Owner,Diesel,Manual
50,Maruti Swift Dzire,Maruti,409999,2014,56000,First Owner,Diesel,Manual
51,Fiat Grande Punto,Fiat,300000,2011,93000,First Owner,Diesel,Manual
53,Maruti Swift VDI,Maruti,300000,2011,120000,First Owner,Diesel,Manual
54,Maruti Baleno Zeta,Maruti,590000,2016,52427,First Owner,Petrol,Automatic
55,Mahindra Bolero B6,Mahindra,850000,2020,40000,First Owner,Diesel,Manual
56,Tata Nano Cx,Tata,108000,2011,70000,First Owner,Petrol,Manual
57,Mahindra KUV100 NXT,Mahindra,550000,2018,17000,First Owner,Petrol,Manual
58,Toyota Etios G,Toyota,325000,2012,54325,First Owner,Petrol,Manual
60,Maruti Swift Dzire,Maruti,600000,2016,54000,First Owner,Petrol,Manual
61,Maruti Wagon R,Maruti,445000,2019,10000,First Owner,Petrol,Manual
62,Maruti Ignis 1.2,Maruti,530000,2019,20000,First Owner,Petrol,Manual
63,Toyota Corolla Altis,Toyota,385000,2011,61000,First Owner,Petrol,Manual
64,Maruti Wagon R,Maruti,409999,2018,53237,First Owner,CNG,Manual
66,Tata Indigo eLX,Tata,265000,2014,90000,First Owner,Diesel,Manual
67,Hyundai Verna 1.6,Hyundai,520000,2014,110000,First Owner,Diesel,Manual
68,Hyundai i20 Asta,Hyundai,750000,2016,70000,First Owner,Diesel,Manual
69,Maruti Swift Dzire,Maruti,560000,2017,70000,First Owner,Diesel,Manual
70,Tata Vista TDI,Tata,200000,2014,190000,First Owner,Diesel,Manual
71,Hyundai Xcent 1.2,Hyundai,600000,2017,40000,First Owner,Diesel,Manual
72,Hyundai i20 1.2,Hyundai,655000,2019,39000,First Owner,Petrol,Manual
73,Hyundai Santro Xing,Hyundai,125000,2007,56000,First Owner,Petrol,Manual
74,Toyota Corolla Altis,Toyota,425000,2009,58000,First Owner,Petrol,Automatic
75,Maruti Omni E,Maruti,220000,2017,40000,First Owner,Petrol,Manual
76,Hyundai i20 1.2,Hyundai,550000,2018,34000,First Owner,Petrol,Manual
77,Mahindra Scorpio 1.99,Mahindra,1150000,2017,50000,First Owner,Diesel,Manual
78,Volkswagen Vento Diesel,Volkswagen,500000,2012,77400,First Owner,Diesel,Manual
79,Mahindra Marazzo M2,Mahindra,990000,2019,36000,First Owner,Diesel,Manual
80,Hyundai Verna SX,Hyundai,551000,2013,47876,First Owner,Diesel,Manual
82,Hyundai Grand i10,Hyundai,350000,2015,75000,First Owner,Diesel,Manual
83,Ford Aspire 1.2,Ford,500000,2017,58000,First Owner,Petrol,Manual
84,Maruti Swift Dzire,Maruti,575000,2018,30000,First Owner,Petrol,Manual
85,Hyundai Grand i10,Hyundai,545000,2018,50000,First Owner,Diesel,Manual
86,Ford Figo 1.2P,Ford,525000,2017,19093,First Owner,Petrol,Manual
87,Honda Amaze E,Honda,400000,2014,50000,First Owner,Petrol,Manual
88,Maruti Wagon R,Maruti,155000,2006,37000,First Owner,Petrol,Manual
89,Mahindra Supro VX,Mahindra,540000,2019,3888,First Owner,Diesel,Manual
90,Maruti Swift Dzire,Maruti,545000,2016,47000,First Owner,Diesel,Manual
91,Honda City V,Honda,545000,2013,70000,First Owner,Petrol,Manual
92,Renault KWID RXL,Renault,240000,2016,25000,First Owner,Petrol,Manual
93,Maruti Vitara Brezza,Maruti,725000,2018,26000,First Owner,Diesel,Manual
94,Ford Aspire 1.2,Ford,480000,2017,30000,First Owner,Petrol,Manual
95,Hyundai i20 Magna,Hyundai,375000,2013,15000,First Owner,Petrol,Manual
96,Maruti Swift VDi,Maruti,225000,2011,160000,First Owner,Diesel,Manual
97,Tata Tiago 1.2,Tata,400000,2017,32100,First Owner,Petrol,Manual
98,Hyundai i20 Magna,Hyundai,550000,2016,22000,First Owner,Petrol,Manual
99,Mahindra Scorpio S10,Mahindra,1050000,2016,44000,First Owner,Diesel,Manual
100,Volkswagen Polo 1.2,Volkswagen,450000,2016,78000,First Owner,Petrol,Manual
101,Mercedes-Benz C-Class C,Mercedes-Benz,775000,2012,74352,First Owner,Petrol,Automatic
102,Maruti Wagon R,Maruti,350000,2014,37000,First Owner,Petrol,Manual
103,Honda City i,Honda,550000,2014,69000,First Owner,Diesel,Manual
104,Kia Seltos HTK,Kia,1080000,2019,12120,First Owner,Petrol,Manual
105,Maruti Baleno Delta,Maruti,575000,2016,52000,First Owner,Petrol,Manual
106,Toyota Innova 2.5,Toyota,950000,2016,120000,First Owner,Diesel,Manual
107,Maruti Alto 800,Maruti,229999,2013,55000,First Owner,Petrol,Manual
108,Hyundai i20 1.4,Hyundai,270000,2011,160000,First Owner,Diesel,Manual
109,Chevrolet Beat Diesel,Chevrolet,165000,2012,42000,First Owner,Diesel,Manual
110,Ford Figo Petrol,Ford,130000,2011,40000,First Owner,Petrol,Manual
111,Maruti Swift Dzire,Maruti,370000,2012,46000,First Owner,Petrol,Manual
112,Maruti Baleno Delta,Maruti,570000,2017,25000,First Owner,Petrol,Manual
113,Toyota Etios GD,Toyota,390000,2015,240000,First Owner,Diesel,Manual
114,Volkswagen Polo Diesel,Volkswagen,365000,2013,90000,First Owner,Diesel,Manual
115,Hyundai i20 Magna,Hyundai,280000,2012,49566,First Owner,Petrol,Manual
117,Hyundai i20 2015-2017,Hyundai,590000,2016,11000,First Owner,Petrol,Manual
118,Maruti Celerio VXI,Maruti,475000,2018,5000,First Owner,Petrol,Automatic
119,Ford Ecosport 2015-2021,Ford,685000,2017,55000,First Owner,Diesel,Manual
120,Hyundai Verna SX,Hyundai,380000,2012,65000,First Owner,Diesel,Automatic
121,Renault KWID 1.0,Renault,330000,2018,22000,First Owner,Petrol,Manual
122,Maruti Baleno Delta,Maruti,650000,2018,7671,First Owner,Petrol,Manual
123,Maruti Wagon R,Maruti,325000,2016,66000,First Owner,Petrol,Manual
124,Maruti Swift Dzire,Maruti,640000,2018,45156,First Owner,Petrol,Automatic
125,Hyundai Venue SX,Hyundai,949000,2019,25000,First Owner,Petrol,Manual
126,Nissan Terrano XL,Nissan,750000,2015,70000,First Owner,Diesel,Manual
127,Hyundai Verna 1.6,Hyundai,660000,2015,120000,First Owner,Diesel,Manual
128,Maruti Swift VXi,Maruti,434999,2014,28000,First Owner,Petrol,Manual
129,Hyundai i20 Sportz,Hyundai,385000,2013,55000,First Owner,Diesel,Manual
130,Hyundai Santa Fe,Hyundai,1000000,2011,104000,First Owner,Diesel,Manual
132,Hyundai Xcent 1.2,Hyundai,550000,2017,18000,First Owner,Petrol,Manual
133,Maruti Wagon R,Maruti,155000,2009,98780,First Owner,Petrol,Manual
134,Maruti Swift VDI,Maruti,415000,2015,58000,First Owner,Diesel,Manual
135,Maruti Alto K10,Maruti,250999,2011,30000,First Owner,Petrol,Manual
136,Mahindra Scorpio S10,Mahindra,1150000,2016,46400,First Owner,Diesel,Manual
137,Hyundai i10 Magna,Hyundai,310000,2014,32111,First Owner,Petrol,Manual
138,Datsun GO Plus,Datsun,350000,2015,35000,First Owner,Petrol,Manual
139,Mahindra Scorpio 1.99,Mahindra,1125000,2017,30000,First Owner,Diesel,Manual
140,BMW 5 Series,BMW,2600000,2016,63000,First Owner,Diesel,Automatic
141,Chevrolet Beat LT,Chevrolet,200000,2017,43890,First Owner,Petrol,Manual
142,Datsun GO Plus,Datsun,480000,2018,10000,First Owner,Petrol,Manual
143,Maruti Swift Dzire,Maruti,850000,2017,25000,First Owner,Diesel,Automatic
144,Hyundai Creta 1.6,Hyundai,1100000,2017,102000,First Owner,Diesel,Automatic
145,Maruti Swift VXI,Maruti,575000,2018,35000,First Owner,Petrol,Manual
147,Maruti Swift Dzire,Maruti,340000,2012,49948,First Owner,Petrol,Manual
148,Tata Indigo eLX,Tata,559000,2018,114851,First Owner,Diesel,Manual
149,Ford Ecosport 2015-2021,Ford,925000,2018,55000,First Owner,Diesel,Manual
150,Hyundai Grand i10,Hyundai,400000,2015,36000,First Owner,Petrol,Manual
151,Hyundai Xcent 1.2,Hyundai,560000,2019,35000,First Owner,Diesel,Manual
152,Honda City i,Honda,725000,2016,49625,First Owner,Petrol,Manual
153,Maruti Swift Dzire,Maruti,600000,2014,35000,First Owner,Diesel,Manual
154,Mahindra Scorpio VLX,Mahindra,550000,2013,95000,First Owner,Diesel,Manual
155,Ford Aspire 1.5,Ford,585000,2017,36000,First Owner,Diesel,Manual
156,Maruti Wagon R,Maruti,411000,2019,50000,First Owner,Petrol,Manual
157,Maruti Swift Dzire,Maruti,450000,2015,26500,First Owner,Petrol,Manual
159,Volkswagen Polo 1.2,Volkswagen,455000,2015,46000,First Owner,Petrol,Manual
160,Hyundai Grand i10,Hyundai,710000,2019,9000,First Owner,Petrol,Manual
161,Mahindra TUV 300,Mahindra,450000,2016,70000,First Owner,Diesel,Manual
162,Toyota Etios Liva,Toyota,465000,2015,33000,First Owner,Petrol,Manual
163,Honda City V,Honda,770000,2016,53000,First Owner,Petrol,Manual
164,Tata Indigo LS,Tata,320000,2015,50000,First Owner,Diesel,Manual
165,Tata Indigo LX,Tata,325000,2015,50000,First Owner,Diesel,Manual
167,Honda Amaze VX,Honda,720000,2018,50000,First Owner,Diesel,Manual
168,Mahindra KUV 100,Mahindra,375000,2016,52000,First Owner,Diesel,Manual
169,Chevrolet Aveo 1.4,Chevrolet,145000,2010,60000,First Owner,Petrol,Manual
170,Datsun GO Plus,Datsun,400000,2015,35000,First Owner,Petrol,Manual
171,Renault Duster 85PS,Renault,600000,2015,48000,First Owner,Diesel,Manual
172,Honda Jazz 1.2,Honda,600000,2018,18000,First Owner,Petrol,Manual
173,Maruti Wagon R,Maruti,270000,2012,57413,First Owner,LPG,Manual
174,Hyundai i20 Magna,Hyundai,500000,2015,30000,First Owner,Petrol,Manual
175,Hyundai Verna 1.6,Hyundai,650000,2015,55000,First Owner,Diesel,Manual
176,Chevrolet Sail 1.2,Chevrolet,380000,2015,120000,First Owner,Petrol,Manual
177,Mitsubishi Pajero Sport,Mitsubishi,728000,2012,165000,First Owner,Diesel,Manual
178,Maruti Swift AMT,Maruti,660000,2018,10000,First Owner,Petrol,Automatic
179,Tata Indica Vista,Tata,180000,2010,120000,First Owner,Diesel,Manual
180,BMW 3 Series,BMW,2089999,2016,68000,First Owner,Diesel,Automatic
181,Chevrolet Beat Diesel,Chevrolet,250000,2015,55000,First Owner,Diesel,Manual
182,Kia Seltos HTK,Kia,1275000,2020,8000,First Owner,Petrol,Manual
183,Toyota Corolla Altis,Toyota,455000,2012,80000,First Owner,Petrol,Manual
184,Maruti Swift VDI,Maruti,495000,2015,65000,First Owner,Diesel,Manual
185,Maruti Ritz VXI,Maruti,220000,2010,47000,First Owner,Petrol,Manual
186,Maruti S-Cross 2017-2020,Maruti,800000,2018,185000,First Owner,Diesel,Manual
188,Hyundai Grand i10,Hyundai,475000,2016,25000,First Owner,Petrol,Manual
189,Tata Sumo Gold,Tata,380000,2014,280000,First Owner,Diesel,Manual
190,Maruti S-Cross 2017-2020,Maruti,900000,2018,7791,First Owner,Diesel,Manual
191,Maruti Ciaz VXi,Maruti,530000,2015,70000,First Owner,Petrol,Manual
192,Tata Tiago 1.2,Tata,530000,2016,9500,First Owner,Petrol,Manual
193,Hyundai Verna 1.6,Hyundai,650000,2015,9100,First Owner,Petrol,Manual
194,Honda New Accord,Honda,495000,2010,82000,First Owner,Petrol,Manual
195,Honda City 1.5,Honda,335000,2010,86000,First Owner,Petrol,Manual
197,Audi A4 2.0,Audi,1290000,2013,78000,First Owner,Diesel,Automatic
198,Ford Figo Diesel,Ford,300000,2011,60000,First Owner,Diesel,Manual
199,Maruti Wagon R,Maruti,550000,2019,7883,First Owner,Petrol,Automatic
200,Maruti Swift Dzire,Maruti,390000,2013,50205,First Owner,Diesel,Manual
201,Mahindra Bolero DI,Mahindra,260000,2008,220000,First Owner,Diesel,Manual
202,Tata Tigor 1.05,Tata,395000,2017,58000,First Owner,Diesel,Manual
203,Mahindra Scorpio SLE,Mahindra,550000,2012,170000,First Owner,Diesel,Manual
204,Maruti Swift Dzire,Maruti,650000,2018,15000,First Owner,Petrol,Manual
205,Maruti Swift DDiS,Maruti,375000,2016,71245,First Owner,Diesel,Manual
206,Tata Manza ELAN,Tata,300000,2012,20000,First Owner,Diesel,Manual
208,Honda Brio S,Honda,335000,2015,61000,First Owner,Petrol,Manual
210,Maruti Alto K10,Maruti,360000,2018,20000,First Owner,Petrol,Manual
211,Maruti Celerio ZXI,Maruti,505000,2020,8700,First Owner,Petrol,Manual
212,Maruti Alto 800,Maruti,310000,2019,25000,First Owner,Petrol,Manual
213,Hyundai i20 Asta,Hyundai,545000,2015,42000,First Owner,Petrol,Manual
214,Mahindra Xylo E4,Mahindra,300000,2009,120000,First Owner,Diesel,Manual
215,Chevrolet Aveo 1.4,Chevrolet,200000,2009,60000,First Owner,Petrol,Manual
216,Mahindra Bolero DI,Mahindra,150000,2006,120000,First Owner,Diesel,Manual
217,Maruti Baleno Delta,Maruti,580000,2018,50000,First Owner,Petrol,Manual
218,Maruti Wagon R,Maruti,250000,2011,58000,First Owner,Petrol,Manual
219,Hyundai Verna 1.4,Hyundai,650000,2017,36000,First Owner,Petrol,Manual
220,Maruti SX4 S,Maruti,800000,2016,80000,First Owner,Diesel,Manual
221,Audi Q3 2.0,Audi,1475000,2013,71000,First Owner,Diesel,Automatic
222,Maruti Ertiga VDI,Maruti,409999,2018,30000,First Owner,Diesel,Manual
223,Ford Ecosport 2015-2021,Ford,531000,2015,162828,First Owner,Diesel,Manual
224,Ford Ecosport 2015-2021,Ford,890000,2018,7500,First Owner,Diesel,Manual
225,Tata Safari Storme,Tata,775000,2016,47227,First Owner,Diesel,Manual
226,Maruti Wagon R,Maruti,434999,2018,52000,First Owner,CNG,Manual
227,Ford Figo Diesel,Ford,185000,2012,74000,First Owner,Diesel,Manual
228,Mahindra Bolero 2011-2019,Mahindra,440000,2011,47000,First Owner,Diesel,Manual
229,Hyundai i20 Sportz,Hyundai,450000,2015,50000,First Owner,Petrol,Manual
230,Maruti Baleno Zeta,Maruti,600000,2017,100000,First Owner,Petrol,Manual
231,Maruti Celerio VXI,Maruti,320000,2014,35000,First Owner,Petrol,Manual
232,Hyundai i20 Active,Hyundai,700000,2016,50000,First Owner,Diesel,Manual
233,Ford Aspire 1.2,Ford,630000,2018,10000,First Owner,Petrol,Manual
234,Maruti Alto 800,Maruti,320000,2016,10370,First Owner,Petrol,Manual
235,Honda City V,Honda,465000,2013,62000,First Owner,Petrol,Manual
236,Tata Manza Aura,Tata,275000,2011,70000,First Owner,Diesel,Manual
237,Nissan Sunny Diesel,Nissan,370000,2013,250000,First Owner,Diesel,Manual
238,Hyundai i20 Sportz,Hyundai,550000,2016,40000,First Owner,Petrol,Manual
239,Maruti Swift VVT,Maruti,445000,2017,60000,First Owner,Petrol,Manual
240,Tata Safari Storme,Tata,705000,2013,67231,First Owner,Diesel,Manual
241,Maruti Wagon R,Maruti,270000,2013,64000,First Owner,CNG,Manual
242,Nissan Micra Diesel,Nissan,420000,2012,142587,First Owner,Diesel,Manual
243,Honda City i,Honda,475000,2014,63000,First Owner,Diesel,Manual
244,Toyota Fortuner 4x4,Toyota,1755000,2015,80000,First Owner,Diesel,Manual
245,Honda City 2017-2020,Honda,350000,2011,55000,First Owner,Petrol,Manual
246,Hyundai i20 2015-2017,Hyundai,575000,2016,11000,First Owner,Petrol,Manual
247,Toyota Etios Liva,Toyota,466000,2016,66000,First Owner,Diesel,Manual
248,Renault KWID 1.0,Renault,360000,2017,17000,First Owner,Petrol,Manual
249,Maruti Alto 800,Maruti,275000,2017,25000,First Owner,Petrol,Manual
250,Datsun GO Plus,Datsun,320000,2016,33350,First Owner,Petrol,Manual
251,Maruti Omni 5,Maruti,95000,2000,45000,First Owner,Petrol,Manual
252,Hyundai Grand i10,Hyundai,370000,2015,62000,First Owner,Petrol,Manual
253,Honda Brio E,Honda,250000,2013,30000,First Owner,Petrol,Manual
254,Maruti Swift Dzire,Maruti,275000,2009,59000,First Owner,Petrol,Manual
256,Honda City i,Honda,550000,2014,86113,First Owner,Petrol,Manual
257,Toyota Corolla Altis,Toyota,1325000,2016,45000,First Owner,Diesel,Manual
258,Maruti Swift Dzire,Maruti,750000,2018,10000,First Owner,Diesel,Manual
259,Nissan Micra XV,Nissan,290000,2011,70000,First Owner,Petrol,Manual
260,Maruti Wagon R,Maruti,272000,2015,92537,First Owner,Petrol,Manual
261,Maruti Ciaz 1.3,Maruti,951000,2019,27645,First Owner,Diesel,Manual
262,Maruti Alto K10,Maruti,280000,2013,46242,First Owner,Petrol,Manual
263,Honda City V,Honda,545000,2013,70000,First Owner,Petrol,Manual
264,Renault KWID RXT,Renault,450000,2020,6000,First Owner,Petrol,Manual
265,Hyundai i20 2015-2017,Hyundai,480000,2017,64000,First Owner,Petrol,Manual
266,Mahindra Scorpio 1.99,Mahindra,1060000,2017,93000,First Owner,Diesel,Manual
267,Maruti Alto 800,Maruti,235000,2013,26200,First Owner,Petrol,Manual
268,Maruti Baleno Zeta,Maruti,590000,2017,25000,First Owner,Petrol,Manual
269,Mahindra TUV 300,Mahindra,750000,2017,80000,First Owner,Diesel,Manual
272,Toyota Fortuner 2016-2021,Toyota,2950000,2018,50000,First Owner,Diesel,Automatic
273,Hyundai Santro Xing,Hyundai,110000,2008,80000,First Owner,Petrol,Manual
274,Mahindra Scorpio M2DI,Mahindra,280000,2007,110000,First Owner,Diesel,Manual
275,Audi A4 30,Audi,1851000,2016,55000,First Owner,Petrol,Automatic
276,Honda City i-VTEC,Honda,750000,2018,25000,First Owner,Petrol,Manual
278,Maruti Swift Dzire,Maruti,530000,2015,40000,First Owner,Diesel,Manual
279,Mahindra Thar CRDe,Mahindra,869999,2018,25000,First Owner,Diesel,Manual
280,Renault KWID RXL,Renault,295000,2018,30038,First Owner,Petrol,Manual
281,Tata Tiago 1.05,Tata,370000,2017,53000,First Owner,Diesel,Manual
282,Maruti Swift VXI,Maruti,530000,2018,5000,First Owner,Petrol,Manual
283,Hyundai Xcent 1.1,Hyundai,600000,2014,41217,First Owner,Diesel,Manual
284,Renault KWID Climber,Renault,350000,2017,35000,First Owner,Petrol,Automatic
285,Ford Ecosport 1.5,Ford,470000,2013,62000,First Owner,Diesel,Manual
286,Ford Aspire 1.5,Ford,390000,2015,42000,First Owner,Diesel,Manual
288,Mahindra Scorpio S10,Mahindra,919999,2015,80000,First Owner,Diesel,Manual
289,Mahindra XUV500 W8,Mahindra,550000,2013,60000,First Owner,Diesel,Manual
290,Hyundai Verna 1.6,Hyundai,635000,2014,45000,First Owner,Diesel,Manual
291,Mahindra XUV500 AT,Mahindra,1250000,2017,50000,First Owner,Diesel,Automatic
292,Maruti Alto 800,Maruti,300000,2018,12000,First Owner,Petrol,Manual
293,Honda City i-VTEC,Honda,960000,2018,12000,First Owner,Petrol,Automatic
294,Maruti Vitara Brezza,Maruti,750000,2018,15000,First Owner,Diesel,Manual
295,Volkswagen Polo Petrol,Volkswagen,249000,2011,63000,First Owner,Petrol,Manual
297,Ford Figo Diesel,Ford,250000,2011,160800,First Owner,Diesel,Manual
298,Hyundai Verna 1.6,Hyundai,610000,2014,120000,First Owner,Diesel,Manual
299,Maruti Zen Estilo,Maruti,165000,2010,62821,First Owner,Petrol,Manual
300,Ford Ecosport 2015-2021,Ford,545000,2016,78247,First Owner,Diesel,Manual
301,Hyundai Verna 1.6,Hyundai,480000,2013,113000,First Owner,Diesel,Manual
302,Hyundai i20 2015-2017,Hyundai,395000,2014,52000,First Owner,Petrol,Manual
303,Toyota Innova 2.5,Toyota,495000,2012,109000,First Owner,Diesel,Manual
304,Ford Figo Aspire,Ford,550000,2017,15000,First Owner,Diesel,Manual
305,Hyundai Grand i10,Hyundai,470000,2017,90000,First Owner,Petrol,Manual
306,Tata Indica eXeta,Tata,200000,2011,35000,First Owner,Petrol,Manual
307,Skoda Laura 1.9,Skoda,280000,2010,90000,First Owner,Diesel,Manual
308,Chevrolet Aveo 1.4,Chevrolet,149000,2008,62001,First Owner,Petrol,Manual
309,Volkswagen Polo Diesel,Volkswagen,200000,2011,98000,First Owner,Diesel,Manual
310,Hyundai i20 Active,Hyundai,699000,2016,20000,First Owner,Diesel,Manual
311,Toyota Corolla Altis,Toyota,315000,2010,57000,First Owner,Petrol,Manual
312,Maruti Wagon R,Maruti,340000,2014,21717,First Owner,Petrol,Manual
313,Renault Duster 85PS,Renault,500000,2014,40000,First Owner,Diesel,Manual
314,Honda City i-VTEC,Honda,1050000,2017,50000,First Owner,Petrol,Manual
315,Renault Duster 110PS,Renault,600000,2016,90000,First Owner,Diesel,Manual
316,Fiat Avventura Urban,Fiat,478000,2017,90000,First Owner,Diesel,Manual
317,Maruti Swift VXI,Maruti,491000,2017,27876,First Owner,Petrol,Manual
319,Land Rover Discovery,Land,2890000,2016,56000,First Owner,Petrol,Automatic
320,Hyundai i10 Asta,Hyundai,160000,2008,57215,First Owner,Petrol,Manual
321,Hyundai Venue SX,Hyundai,985000,2019,5400,First Owner,Petrol,Manual
322,Maruti Swift Dzire,Maruti,500000,2014,60000,First Owner,Diesel,Manual
323,Tata Tiago 1.2,Tata,335000,2017,24800,First Owner,Petrol,Manual
324,Maruti Alto LXi,Maruti,85000,2005,70000,First Owner,Petrol,Manual
325,Honda BRV i-DTEC,Honda,950000,2016,59450,First Owner,Diesel,Manual
326,Honda Jazz VX,Honda,740000,2018,20000,First Owner,Petrol,Automatic
327,Tata Indica Vista,Tata,200000,2010,90000,First Owner,Diesel,Manual
328,Maruti Swift VXI,Maruti,375000,2013,34553,First Owner,Petrol,Manual
329,Maruti Vitara Brezza,Maruti,810000,2018,40000,First Owner,Diesel,Manual
330,Volkswagen Polo Petrol,Volkswagen,173000,2010,350000,First Owner,Petrol,Manual
331,Maruti Vitara Brezza,Maruti,700000,2017,50000,First Owner,Diesel,Manual
332,Mahindra KUV 100,Mahindra,310000,2016,70000,First Owner,Diesel,Manual
333,Mahindra Scorpio 1.99,Mahindra,850000,2017,120000,First Owner,Diesel,Manual
334,Hyundai i20 Era,Hyundai,285000,2013,90000,First Owner,Diesel,Manual
335,Maruti Swift Dzire,Maruti,450000,2014,120000,First Owner,Diesel,Manual
336,Hyundai Creta 1.6,Hyundai,1100000,2017,80000,First Owner,Diesel,Manual
337,Mahindra Xylo E4,Mahindra,350000,2011,155000,First Owner,Diesel,Manual
338,Mahindra Scorpio 1.99,Mahindra,1080000,2017,30000,First Owner,Diesel,Manual
339,Honda City i,Honda,530000,2014,66100,First Owner,Diesel,Manual
340,Maruti Swift Dzire,Maruti,680000,2017,50000,First Owner,Diesel,Manual
341,Mahindra Scorpio 1.99,Mahindra,1025000,2017,42000,First Owner,Diesel,Manual
342,Hyundai i20 1.2,Hyundai,650000,2017,55000,First Owner,Petrol,Manual
343,Hyundai i10 Magna,Hyundai,194000,2012,110699,First Owner,Petrol,Manual
344,Maruti Baleno Delta,Maruti,686000,2019,5000,First Owner,Petrol,Automatic
345,Maruti Alto 800,Maruti,200000,2016,50000,First Owner,Petrol,Manual
346,Maruti Swift Dzire,Maruti,250000,2010,44000,First Owner,Petrol,Manual
347,Maruti Vitara Brezza,Maruti,730000,2018,90000,First Owner,Diesel,Manual
348,Hyundai Verna 1.6,Hyundai,650000,2016,55000,First Owner,Petrol,Manual
349,Maruti Vitara Brezza,Maruti,790000,2017,45000,First Owner,Diesel,Manual
350,Maruti Baleno Zeta,Maruti,620000,2017,30000,First Owner,Petrol,Manual
351,Hyundai Verna 1.6,Hyundai,509999,2013,50000,First Owner,Petrol,Manual
352,Hyundai Santro Xing,Hyundai,114999,2005,120000,First Owner,Petrol,Manual
353,Maruti Eeco 5,Maruti,375000,2013,20000,First Owner,Petrol,Manual
354,Nissan Terrano XV,Nissan,525000,2015,69000,First Owner,Diesel,Manual
